"var","time","Min.","2.5%","Median","Mean","97.5%","Max."
"Minsub",13.75,0.0238464256442424,0.0372834024137867,0.0628677103198025,0.0643197488978499,0.100008720962607,0.131910146399466
"Minsub",13.8333333333333,0.0233506800238228,0.0366029665219395,0.06192393631084,0.0633651618114833,0.0987622350502695,0.130504069344207
"Minsub",13.9166666666667,0.0228652333965382,0.0359350133593668,0.0609943175338634,0.0624248668591861,0.0975312717855786,0.129112934596592
"Minsub",14,0.0223898722459572,0.0352792992833125,0.0600786424845708,0.0614986488652545,0.096315638697122,0.127736585823635
"Minsub",14.0833333333333,0.0219243874543267,0.0346355422449899,0.0591667209068093,0.0605862958714101,0.0951151456474483,0.126374868194937
"Minsub",14.1666666666667,0.0214685742140215,0.0340035247031099,0.058266335574734,0.059687599091602,0.0939296048081751,0.125027628375578
"Minsub",14.25,0.021022231940644,0.0333830330433158,0.0573796403565722,0.0588023528672489,0.0927588306351481,0.123694714518612
"Minsub",14.3333333333333,0.0205851641870608,0.0327738575089436,0.0565064277906236,0.057930354622564,0.0916026398434618,0.122375976257129
"Minsub",14.4166666666667,0.0201571785595421,0.0321757921332387,0.0556464935181781,0.0570714048205828,0.0904608513826927,0.121071264696002
"Minsub",14.5,0.0197380866355079,0.0315886346726445,0.054799636239557,0.0562253069196603,0.0893332864122279,0.119780432403324
